CarName,ListPrice1000s
C1,21.5
C2,38.9
C3,21.975
C4,25.3
C5,31.965
C6,27.885
C7,39.895
C8,44.475
C9,39.665
C10,31.01
C11,46.225
C12,28.4
C13,13.26
C14,16.535
C15,42
C16,23.99
C17,33.95
C18,62
C19,26.99
C20,33.4
