CarName,Sales1000s
C1,16.919
C2,39.384
C3,14.114
C4,8.588
C5,20.397
C6,18.78
C7,1.38
C8,19.747
C9,9.231
C10,17.527
C11,91.561
C12,39.35
C13,27.851
C14,83.257
C15,63.729
C16,15.943
C17,6.536
C18,11.185
C19,14.785
C20,145.519
