CarName,Sales1000s
C21,145.519
C22,135.126
C23,24.629
C24,42.593
C25,26.402
C26,17.947
C27,32.399
C28,21.855
C29,107.995
C30,7.854
C31,32.775
C32,31.148
C33,32.306
C34,13.462
C35,53.48
C36,30.696
C37,76.034
C38,4.734
C39,71.186
C40,88.028
